"species","Genus","Family","Order","Class","spec_code","DemersPelag","EnvTemp","environment","Feeding_path","BodyShape","DepthRangeDeep","Lmax","trophic_level","K","tm"
"Engyprosopon grandisquama","Engyprosopon","Bothidae","Pleuronectiformes","Actinopterygii",1324,"reef_associated","tropical","marine","benthic","short_deep",200,15,3.1,0.4,2
"Enneanectes carminalis","Enneanectes","Tripterygiidae","Perciformes","Actinopterygii",46539,"reef_associated","tropical","marine","benthic","elongate",15.25,3,2.8,5.22,0.2
"Enteromius paludinosus","Enteromius","Cyprinidae","Cypriniformes","Actinopterygii",7571,"benthopelagic","tropical","freshwater","benthic","fusiform",65,15,2.9,1.4,0.6
"Ephippion guttifer","Ephippion","Tetraodontidae","Tetraodontiformes","Actinopterygii",4960,"demersal","subtropical","mixed","benthic","fusiform",100,80,3.6,0.22,2.9
"Epigonus crassicaudus","Epigonus","Epigonidae","Perciformes","Actinopterygii",54788,"bathydemersal","polar_deep","marine","benthic","fusiform",400,43,3.5,0.13,5.3
"Epinephelus amblycephalus","Epinephelus","Serranidae","Perciformes","Actinopterygii",6459,"reef_associated","tropical","marine","benthic","fusiform",130,50,3.89,0.22,3
"Epinephelus chabaudi","Epinephelus","Serranidae","Perciformes","Actinopterygii",7336,"reef_associated","tropical","marine","benthic","fusiform",300,137,3.89,0.09,6.5
"Epinephelus cifuentesi","Epinephelus","Serranidae","Perciformes","Actinopterygii",9219,"demersal","tropical","marine","benthic","fusiform",120,100,3.89,0.3,2
"Epinephelus costae","Epinephelus","Serranidae","Perciformes","Actinopterygii",9224,"demersal","subtropical","marine","benthic","fusiform",200,140,3.9,0.12,5.2
"Epinephelus epistictus","Epinephelus","Serranidae","Perciformes","Actinopterygii",7341,"demersal","tropical","marine","benthic","fusiform",800,80,4,0.14,4.5
"Epinephelus fasciatomaculosus","Epinephelus","Serranidae","Perciformes","Actinopterygii",6467,"reef_associated","tropical","marine","benthic","fusiform",30,30,3.6,0.35,2.1
"Epinephelus latifasciatus","Epinephelus","Serranidae","Perciformes","Actinopterygii",7350,"demersal","tropical","marine","benthic","fusiform",240,137,4,0.32,2
"Epinephelus magniscuttis","Epinephelus","Serranidae","Perciformes","Actinopterygii",6469,"reef_associated","tropical","marine","benthic","fusiform",300,150,3.89,0.26,2.3
"Eptatretus polytrema","Eptatretus","Myxinidae","Myxiniformes","Myxini",8714,"demersal","polar_deep","marine","benthic","elongate",350,93,4.54,0.122395699966145,7.34171419668191
"Equulites leuciscus","Equulites","Leiognathidae","Perciformes","Actinopterygii",4453,"demersal","tropical","marine","benthic","fusiform",70,25,3.1,1.13,0.7
"Eridacnis radcliffei","Eridacnis","Proscylliidae","Carcharhiniformes","Elasmobranchii",5919,"bathydemersal","polar_deep","marine","pelagic","elongate",766,23,4.1,0.160297826126582,7.16756586313267
"Erythrocles monodi","Erythrocles","Emmelichthyidae","Perciformes","Actinopterygii",3562,"pelagic_neritic","tropical","marine","pelagic","fusiform",300,65,3.4,0.25,2.6
"Escualosa thoracata","Escualosa","Clupeidae","Clupeiformes","Actinopterygii",1522,"pelagic_neritic","tropical","mixed","pelagic","fusiform",50,10,3.2,1.86,0.4
"Esomus danrica","Esomus","Cyprinidae","Cypriniformes","Actinopterygii",5150,"benthopelagic","tropical","mixed","benthic","fusiform",23.75,13,2.4,0.292563554606402,1.82318044592642
"Esomus longimanus","Esomus","Cyprinidae","Cypriniformes","Actinopterygii",27062,"benthopelagic","tropical","freshwater","benthic","elongate",23.75,8,3.3,0.292563554606402,1.82318044592642
"Esox lucius","Esox","Esocidae","Esociformes","Actinopterygii",258,"pelagic","subtropical","mixed","pelagic","elongate",30,137,4.1,0.1,5.9
"Etelis radiosus","Etelis","Lutjanidae","Perciformes","Actinopterygii",1392,"demersal","tropical","marine","pelagic","fusiform",360,80,4.5,0.21,3
"Etmopterus lucifer","Etmopterus","Etmopteridae","Squaliformes","Elasmobranchii",681,"pelagic_oceanic","polar_deep","marine","pelagic","elongate",1250,47,4.2,0.0668450914076077,22.1416468405238
"Etmopterus schultzi","Etmopterus","Etmopteridae","Squaliformes","Elasmobranchii",685,"bathydemersal","polar_deep","marine","pelagic","elongate",1000,27,4.18,0.0668450914076077,22.1416468405238
"Etroplus suratensis","Etroplus","Cichlidae","Perciformes","Actinopterygii",4681,"benthopelagic","tropical","brackish","benthic","short_deep",40.68,40,2.9,0.667610365879211,1.74076664540265
"Eucinostomus gula","Eucinostomus","Gerreidae","Perciformes","Actinopterygii",1050,"reef_associated","subtropical","mixed","benthic","fusiform",55,25.5,2.7,0.34,2.3
"Eucrossorhinus dasypogon","Eucrossorhinus","Orectolobidae","Orectolobiformes","Elasmobranchii",756,"reef_associated","polar_deep","marine","benthic","elongate",50,366,4,0.06,8.7
"Eugerres axillaris","Eugerres","Gerreidae","Perciformes","Actinopterygii",13697,"demersal","tropical","marine","benthic","short_deep",30,19,3.4,0.62,1.3
"Eugerres brasilianus","Eugerres","Gerreidae","Perciformes","Actinopterygii",7533,"demersal","tropical","marine","benthic","short_deep",30,50,3.4,0.29,2.4
"Eugerres lineatus","Eugerres","Gerreidae","Perciformes","Actinopterygii",13730,"benthopelagic","tropical","marine","benthic","short_deep",30,18,3.4,0.66,1.2
"Eugerres plumieri","Eugerres","Gerreidae","Perciformes","Actinopterygii",1053,"demersal","subtropical","mixed","benthic","short_deep",30,40,2.2,0.32,2.2
"Euleptorhamphus viridis","Euleptorhamphus","Hemiramphidae","Beloniformes","Actinopterygii",3156,"pelagic_oceanic","subtropical","marine","pelagic","elongate",1,53,3.4,0.48,1.4
"Eupleurogrammus muticus","Eupleurogrammus","Trichiuridae","Perciformes","Actinopterygii",8244,"benthopelagic","tropical","mixed","pelagic","elongate",80,87,4.1,0.61,1
"Eusphyra blochii","Eusphyra","Sphyrnidae","Carcharhiniformes","Elasmobranchii",908,"benthopelagic","tropical","mixed","pelagic","elongate",395,186,4.2,0.17,3.4
"Eutropiichthys vacha","Eutropiichthys","Schilbeidae","Siluriformes","Actinopterygii",13347,"pelagic","tropical","mixed","benthic","elongate",4,38.2,3.9,0.393895521430845,1.60349841641983
"Exechodontes daidaleus","Exechodontes","Zoarcidae","Perciformes","Actinopterygii",47988,"bathydemersal","polar_deep","marine","benthic","elongate",1004,10,3.57,0.45,1.9
"Feroxodon multistriatus","Feroxodon","Tetraodontidae","Tetraodontiformes","Actinopterygii",11214,"reef_associated","tropical","marine","benthic","short_deep",87.1,39,4,0.43,1.6
"Figaro boardmani","Figaro","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",805,"bathydemersal","temperate","marine","benthic","elongate",823,61,4.2,0.2,3.3
"Fontitrygon margarita","Fontitrygon","Dasyatidae","Myliobatiformes","Elasmobranchii",4954,"demersal","tropical","mixed","benthic","fusiform",60,100,3.4,0.139974372505807,4.80673416066813
"Fontitrygon margaritella","Fontitrygon","Dasyatidae","Myliobatiformes","Elasmobranchii",26645,"demersal","tropical","mixed","benthic","fusiform",70,30,3.9,0.139974372505807,4.80673416066813
"Fontitrygon ukpam","Fontitrygon","Dasyatidae","Myliobatiformes","Elasmobranchii",8968,"demersal","tropical","mixed","benthic","fusiform",70,120,3.45,0.139974372505807,4.80673416066813
"Fundulus grandis","Fundulus","Fundulidae","Cyprinodontiformes","Actinopterygii",3191,"benthopelagic","tropical","mixed","benthic","elongate",1,18,3.4,1.26,0.6
"Fundulus heteroclitus","Fundulus","Fundulidae","Cyprinodontiformes","Actinopterygii",3192,"benthopelagic","temperate","mixed","benthic","fusiform",1,15,3.6,0.83,1
"Gadella maraldi","Gadella","Moridae","Gadiformes","Actinopterygii",2011,"benthopelagic","subtropical","marine","benthic","elongate",900,30,3.5,0.2,3.6
"Gaidropsarus biscayensis","Gaidropsarus","Lotidae","Gadiformes","Actinopterygii",1877,"benthopelagic","temperate","marine","benthic","elongate",600,40,3.6,0.31,2.2
"Gaidropsarus mediterraneus","Gaidropsarus","Lotidae","Gadiformes","Actinopterygii",1740,"demersal","temperate","mixed","benthic","elongate",450,50,3.5,0.6,1.2
"Gaidropsarus vulgaris","Gaidropsarus","Lotidae","Gadiformes","Actinopterygii",1876,"demersal","temperate","marine","benthic","elongate",120,60,3.5,0.48,1.4
"Galeichthys peruvianus","Galeichthys","Ariidae","Siluriformes","Actinopterygii",13493,"demersal","tropical","marine","benthic","fusiform",120,35,3.75,0.28,2.5
"Galeus arae","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",804,"bathydemersal","polar_deep","marine","benthic","elongate",750,36,3.6,0.183307778154299,5.74841877665365
"Galeus atlanticus","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",53997,"bathydemersal","polar_deep","marine","pelagic","elongate",540,40.4571428571429,4.12,0.183307778154299,5.74841877665365
"Galeus eastmani","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",806,"bathydemersal","polar_deep","marine","pelagic","elongate",735.06,40,3.9,0.183307778154299,5.74841877665365
"Galeus murinus","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",808,"bathydemersal","polar_deep","marine","pelagic","elongate",1200,63,4,0.183307778154299,5.74841877665365
"Galeus nipponensis","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",809,"bathydemersal","polar_deep","marine","pelagic","elongate",735.06,70,4.4,0.183307778154299,5.74841877665365
"Galeus polli","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",811,"bathydemersal","polar_deep","marine","pelagic","elongate",720,45,4.2,0.183307778154299,5.74841877665365
"Galeus sauteri","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",812,"demersal","polar_deep","marine","pelagic","elongate",90,38,4.12,0.183307778154299,5.74841877665365
"Galeus schultzi","Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",813,"bathydemersal","polar_deep","marine","pelagic","elongate",431,40.4571428571429,4.12,0.183307778154299,5.74841877665365
"Gempylus serpens","Gempylus","Gempylidae","Perciformes","Actinopterygii",1041,"pelagic_oceanic","polar_deep","marine","pelagic","elongate",600,100,4.4,0.16,3.8
"Genicanthus bellus","Genicanthus","Pomacanthidae","Perciformes","Actinopterygii",5667,"reef_associated","tropical","marine","pelagic","short_deep",110,18,3.4,0.29,2.7
"Genidens barbus","Genidens","Ariidae","Siluriformes","Actinopterygii",13992,"demersal","subtropical","mixed","benthic","fusiform",33,120,3.81,0.13,4.8
"Genidens genidens","Genidens","Ariidae","Siluriformes","Actinopterygii",13982,"demersal","subtropical","mixed","benthic","fusiform",66.75,42.5,3.81,0.41,1.7
"Geophagus brasiliensis","Geophagus","Cichlidae","Perciformes","Actinopterygii",4751,"benthopelagic","tropical","mixed","benthic","fusiform",40.68,28,2.6,0.0775,2
"Geophagus sveni","Geophagus","Cichlidae","Perciformes","Actinopterygii",65427,"demersal","tropical","freshwater","benthic","fusiform",40.68,16.7,2.64,0.61,1.3
"Geotria australis","Geotria","Geotriidae","Petromyzontiformes","Cephalaspidomorphi",6947,"demersal","temperate","mixed","pelagic","elongate",951.83,57,4.5,0.207554404252338,3.94431435410877
"Gephyroberyx darwinii","Gephyroberyx","Trachichthyidae","Beryciformes","Actinopterygii",4962,"benthopelagic","subtropical","marine","pelagic","short_deep",1210,60,3.9,0.05,13
"Gephyroglanis congicus","Gephyroglanis","Claroteidae","Siluriformes","Actinopterygii",9331,"demersal","tropical","freshwater","benthic","elongate",20,43,3.6,0.31,2.2
"Gerres filamentosus","Gerres","Gerreidae","Perciformes","Actinopterygii",4463,"demersal","tropical","mixed","benthic","fusiform",50,39,3.3,0.3,2.3
"Gibelion catla","Gibelion","Cyprinidae","Cypriniformes","Actinopterygii",4439,"benthopelagic","subtropical","mixed","pelagic","fusiform",23.75,182,2.8,0.307,1.82318044592642
"Girella laevifrons","Girella","Kyphosidae","Perciformes","Actinopterygii",57959,"pelagic_neritic","tropical","marine","benthic","short_deep",18.57,38.3,2.6,0.28,2.5
"Girella nebulosa","Girella","Kyphosidae","Perciformes","Actinopterygii",58177,"benthopelagic","tropical","marine","benthic","short_deep",18.57,30,2,0.24,3
"Glossanodon leioglossus","Glossanodon","Argentinidae","Osmeriformes","Actinopterygii",1782,"bathydemersal","polar_deep","marine","benthic","elongate",404.67,20,3.5,0.44,1.7
"Glossogobius giuris","Glossogobius","Gobiidae","Perciformes","Actinopterygii",4833,"benthopelagic","tropical","mixed","pelagic","fusiform",5,50,3.7,0.69,1.1
"Gnathonemus petersii","Gnathonemus","Mormyridae","Osteoglossiformes","Actinopterygii",2085,"demersal","tropical","freshwater","benthic","fusiform",45,35,3.1,0.36,2
"Gobiodon acicularis","Gobiodon","Gobiidae","Perciformes","Actinopterygii",28055,"reef_associated","tropical","marine","benthic","short_deep",10,3.9,3.34,1.52,0.6
"Gobionellus oceanicus","Gobionellus","Gobiidae","Perciformes","Actinopterygii",3862,"demersal","tropical","mixed","benthic","fusiform",45.91,15.38,3.16,0.43,1.8
"Gobiopsis aporia","Gobiopsis","Gobiidae","Perciformes","Actinopterygii",23661,"reef_associated","tropical","marine","benthic","elongate",20,4.1,3.16,1.45,0.7
"Gobitrichinotus radiocularis","Gobitrichinotus","Kraemeriidae","Perciformes","Actinopterygii",25035,"demersal","subtropical","mixed","benthic","elongate",3,4,3.56,0.351392032774961,2.19724315645384
"Gobius cruentatus","Gobius","Gobiidae","Perciformes","Actinopterygii",7648,"demersal","subtropical","marine","benthic","fusiform",40,18,3.4,0.44,1.8
"Gobius paganellus","Gobius","Gobiidae","Perciformes","Actinopterygii",73,"demersal","subtropical","mixed","benthic","fusiform",15,13,3.3,0.72,1.1
"Gobiusculus flavescens","Gobiusculus","Gobiidae","Perciformes","Actinopterygii",74,"reef_associated","temperate","mixed","benthic","elongate",45.91,6,3.2,0.94,1
"Gonialosa manmina","Gonialosa","Clupeidae","Clupeiformes","Actinopterygii",1622,"pelagic","tropical","mixed","pelagic","fusiform",76.42,14.1,3.35,0.72509677501499,1.68643105690157
"Grammatobothus polyophthalmus","Grammatobothus","Bothidae","Pleuronectiformes","Actinopterygii",6638,"demersal","tropical","marine","pelagic","short_deep",90,21,3.6,0.29,2.6
"Graus nigra","Graus","Kyphosidae","Perciformes","Actinopterygii",57673,"demersal","subtropical","marine","benthic","short_deep",32.68,64.6,3.4,0.17,3.8
"Guavina guavina","Guavina","Eleotridae","Perciformes","Actinopterygii",27916,"demersal","tropical","mixed","pelagic","fusiform",12.33,30,4.2,0.26,2.8
"Gudusia chapra","Gudusia","Clupeidae","Clupeiformes","Actinopterygii",1601,"pelagic","subtropical","mixed","pelagic","fusiform",76.42,20,3.35,1.29333333333333,1.19487854411039
"Gulaphallus bikolanus","Gulaphallus","Phallostethidae","Atheriniformes","Actinopterygii",26939,"benthopelagic","tropical","freshwater","benthic","elongate",1,1.95,3.03,0.341984855027494,2.12805889640341
"Gymnammodytes cicerelus","Gymnammodytes","Ammodytidae","Perciformes","Actinopterygii",1717,"demersal","subtropical","marine","pelagic","elongate",120,17,3.4,0.56,1.4
"Gymnammodytes semisquamatus","Gymnammodytes","Ammodytidae","Perciformes","Actinopterygii",75,"demersal","temperate","marine","benthic","elongate",124.26,30,2.7,0.28,2.6
"Gymnapistes marmoratus","Gymnapistes","Tetrarogidae","Scorpaeniformes","Actinopterygii",7317,"demersal","subtropical","mixed","benthic","fusiform",26,22.5,3.3,0.12,6.3
"Gymnarchus niloticus","Gymnarchus","Gymnarchidae","Osteoglossiformes","Actinopterygii",4519,"demersal","tropical","freshwater","benthic","elongate",57.5,167,3.7,0.12,4.7
"Gymnothorax polygonius","Gymnothorax","Muraenidae","Anguilliformes","Actinopterygii",9035,"demersal","tropical","marine","pelagic","elongate",256,98,4.5,0.12,5.1
"Gymnothorax porphyreus","Gymnothorax","Muraenidae","Anguilliformes","Actinopterygii",27501,"demersal","subtropical","marine","pelagic","elongate",40,103.2,4.01,0.11,5.5
"Gymnotus carapo","Gymnotus","Gymnotidae","Gymnotiformes","Actinopterygii",10915,"benthopelagic","subtropical","freshwater","benthic","elongate",2,76,3.6,0.31,2.2
"Gymnura altavela","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii",2577,"demersal","subtropical","mixed","benthic","fusiform",100,400,4.5,0.141368459916214,5.93336209608902
"Gymnura crebripunctata","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii",13183,"demersal","tropical","marine","benthic","fusiform",77.2,31,4.5,0.141368459916214,5.93336209608902
"Gymnura marmorata","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii",2578,"demersal","subtropical","marine","benthic","fusiform",94,100,4,0.141368459916214,5.93336209608902
"Gymnura micrura","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii",2579,"demersal","polar_deep","mixed","benthic","fusiform",55,137,3.6,0.141368459916214,5.93336209608902
"Gymnura poecilura","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii",8260,"demersal","tropical","marine","benthic","fusiform",77.2,250,4.5,0.141368459916214,5.93336209608902
"Halimuraena hexagonata","Halimuraena","Pseudochromidae","Perciformes","Actinopterygii",4423,"demersal","tropical","marine","benthic","elongate",8.5,6,3.4,1,0.9
"Hampala macrolepidota","Hampala","Cyprinidae","Cypriniformes","Actinopterygii",4803,"benthopelagic","tropical","freshwater","pelagic","fusiform",23.75,70,4.2,0.555,1.23552490898139
"Helicolenus lengerichi","Helicolenus","Sebastidae","Scorpaeniformes","Actinopterygii",51205,"bathydemersal","polar_deep","marine","pelagic","fusiform",684.71,30.7,3.88,0.41,1.8
"Helicophagus waandersii","Helicophagus","Pangasiidae","Siluriformes","Actinopterygii",14226,"demersal","tropical","freshwater","benthic","elongate",55.75,70,3.2,0.197021698719602,2.92529060481918
"Helostoma temminckii","Helostoma","Helostomatidae","Perciformes","Actinopterygii",500,"benthopelagic","tropical","freshwater","benthic","short_deep",175.48,30,2.8,0.351392032774961,2.19724315645384
"Hemanthias leptus","Hemanthias","Serranidae","Perciformes","Actinopterygii",3325,"demersal","tropical","marine","benthic","fusiform",300,50,3.96,0.22,3
"Hemibagrus filamentus","Hemibagrus","Bagridae","Siluriformes","Actinopterygii",58032,"benthopelagic","tropical","mixed","pelagic","fusiform",51.5,50,3.27,0.16,4.2
"Hemibagrus nemurus","Hemibagrus","Bagridae","Siluriformes","Actinopterygii",5427,"benthopelagic","tropical","mixed","benthic","fusiform",51.5,65,3.6,0.305913899015013,2.00848835135405
"Hemibagrus wyckioides","Hemibagrus","Bagridae","Siluriformes","Actinopterygii",26973,"demersal","subtropical","freshwater","benthic","elongate",51.5,130,3.7,0.07,8.4
"Hemibates stenosoma","Hemibates","Cichlidae","Perciformes","Actinopterygii",8598,"pelagic","tropical","freshwater","benthic","fusiform",40.68,30,4.1,0.43,1.7
"Hemicaranx bicolor","Hemicaranx","Carangidae","Perciformes","Actinopterygii",1942,"demersal","tropical","mixed","benthic","fusiform",50,70,3.87,0.27,2.4
"Hemicaranx zelotes","Hemicaranx","Carangidae","Perciformes","Actinopterygii",1944,"benthopelagic","tropical","mixed","benthic","fusiform",50,35,3.87,0.51,1.4
"Hemichromis elongatus","Hemichromis","Cichlidae","Perciformes","Actinopterygii",59782,"benthopelagic","tropical","freshwater","benthic","fusiform",40.68,18.7,3.7,0.55,1.4
"Hemichromis fasciatus","Hemichromis","Cichlidae","Perciformes","Actinopterygii",2390,"benthopelagic","tropical","freshwater","benthic","fusiform",40.68,20.4,3.2,1.2,0.6
"Hemigaleus microstoma","Hemigaleus","Hemigaleidae","Carcharhiniformes","Elasmobranchii",5897,"demersal","tropical","marine","pelagic","elongate",170,114,4.2,0.160297826126582,7.16756586313267
"Hemilutjanus macrophthalmos","Hemilutjanus","Serranidae","Perciformes","Actinopterygii",58279,"pelagic_neritic","tropical","marine","pelagic","fusiform",55,50,4.3,0.18,3.7
"Hemipristis elongata","Hemipristis","Hemigaleidae","Carcharhiniformes","Elasmobranchii",5898,"demersal","tropical","marine","pelagic","elongate",130,240,4.3,0.160297826126582,7.16756586313267
"Hemiramphus balao","Hemiramphus","Hemiramphidae","Beloniformes","Actinopterygii",1057,"reef_associated","subtropical","mixed","benthic","elongate",5,40,3.9,1.43,0.5
"Hemisorubim platyrhynchos","Hemisorubim","Pimelodidae","Siluriformes","Actinopterygii",13261,"demersal","subtropical","freshwater","pelagic","elongate",26.75,73.1927732043221,4.5,0.222,2.93493885167556
"Henicorhynchus siamensis","Henicorhynchus","Cyprinidae","Cypriniformes","Actinopterygii",55277,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,20,2,0.75,1.55741994262291
"Hepsetus kingsleyae","Hepsetus","Hepsetidae","Characiformes","Actinopterygii",66928,"pelagic","tropical","freshwater","benthic","elongate",44.18,21.95,2.79,0.75,1
"Hepsetus odoe","Hepsetus","Hepsetidae","Characiformes","Actinopterygii",4530,"demersal","tropical","freshwater","benthic","elongate",44.18,44.2,4.1,1.41,0.6
"Heptranchias perlo","Heptranchias","Hexanchidae","Hexanchiformes","Elasmobranchii",636,"bathydemersal","polar_deep","marine","pelagic","elongate",1000,137,4.2,0.144789033718478,7.68880164961311
"Herklotsichthys dispilonotus","Herklotsichthys","Clupeidae","Clupeiformes","Actinopterygii",1489,"pelagic_neritic","tropical","mixed","pelagic","fusiform",50,8.5,3.57,1.41,0.6
"Herklotsichthys lossei","Herklotsichthys","Clupeidae","Clupeiformes","Actinopterygii",1492,"pelagic_neritic","subtropical","marine","pelagic","fusiform",50,8,3.57,1.49,0.6
"Heteristius cinctus","Heteristius","Dactyloscopidae","Perciformes","Actinopterygii",46651,"demersal","tropical","marine","benthic","elongate",27,4.5,4,0.351392032774961,2.19724315645384
"Heterobranchus longifilis","Heterobranchus","Clariidae","Siluriformes","Actinopterygii",2319,"demersal","tropical","freshwater","benthic","elongate",76,150,3.7,0.11,5.5
"Heterodontus portusjacksoni","Heterodontus","Heterodontidae","Heterodontiformes","Elasmobranchii",743,"demersal","subtropical","marine","benthic","elongate",275,165,3.5,0.11,5.4
"Heteromycteris proboscideus","Heteromycteris","Soleidae","Pleuronectiformes","Actinopterygii",8844,"demersal","tropical","mixed","benthic","short_deep",37,10,3.28,0.8,1.1
"Heteropneustes fossilis","Heteropneustes","Heteropneustidae","Siluriformes","Actinopterygii",4885,"demersal","tropical","mixed","pelagic","elongate",1,31,3.6,0.9225,0.999004340254329
"Heterotis niloticus","Heterotis","Arapaimidae","Osteoglossiformes","Actinopterygii",2388,"pelagic","tropical","freshwater","benthic","fusiform",57.5,100,2.7,0.19,3.2
"Hippoglossina oblonga","Hippoglossina","Paralichthyidae","Pleuronectiformes","Actinopterygii",4229,"demersal","temperate","marine","benthic","short_deep",311,41,4.3,0.4,1.7
"Hirundichthys affinis","Hirundichthys","Exocoetidae","Beloniformes","Actinopterygii",7457,"pelagic_neritic","subtropical","marine","pelagic","elongate",100,33,3.8,3.15,0.2
"Hirundichthys rondeletii","Hirundichthys","Exocoetidae","Beloniformes","Actinopterygii",1035,"pelagic_oceanic","subtropical","marine","pelagic","elongate",1,30,3.69,1.08,0.7
"Holohalaelurus regani","Holohalaelurus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",829,"bathydemersal","polar_deep","marine","pelagic","elongate",1075,69,4.2,0.18,3.6
"Hoplias malabaricus","Hoplias","Erythrinidae","Characiformes","Actinopterygii",4757,"benthopelagic","tropical","freshwater","pelagic","elongate",44.18,65,4.5,0.31,2.2
"Hydrocynus forskahlii","Hydrocynus","Alestidae","Characiformes","Actinopterygii",4496,"pelagic","tropical","freshwater","pelagic","elongate",20,78,4,0.29,2.2
"Hydrocynus goliath","Hydrocynus","Alestidae","Characiformes","Actinopterygii",8682,"pelagic","tropical","freshwater","pelagic","fusiform",20,133,4.41,0.12,4.9
"Hydrocynus vittatus","Hydrocynus","Alestidae","Characiformes","Actinopterygii",4479,"demersal","tropical","freshwater","pelagic","fusiform",20,105,4.4,0.34,1.9
"Hydrolagus macrophthalmus","Hydrolagus","Chimaeridae","Chimaeriformes","Holocephali",55060,"demersal","subtropical","marine","benthic","elongate",1160,63.9,3.52,0.27,2.4
"Hydrolagus melanophasma","Hydrolagus","Chimaeridae","Chimaeriformes","Holocephali",65072,"benthopelagic","subtropical","marine","benthic","elongate",1720,120,3.52,0.15,4
"Hygophum benoiti","Hygophum","Myctophidae","Myctophiformes","Actinopterygii",1718,"bathypelagic","polar_deep","marine","pelagic","fusiform",700,5.5,3,0.57,1.6
"Hypanus americanus","Hypanus","Dasyatidae","Myliobatiformes","Elasmobranchii",1247,"reef_associated","subtropical","mixed","benthic","fusiform",53,200,3.5,0.1,5.7
"Hypanus dipterurus","Hypanus","Dasyatidae","Myliobatiformes","Elasmobranchii",2573,"demersal","subtropical","marine","benthic","fusiform",355,122,3.5,0.1,6.1
"Hypanus say","Hypanus","Dasyatidae","Myliobatiformes","Elasmobranchii",2575,"demersal","subtropical","mixed","benthic","fusiform",10,100,3.7,0.139974372505807,4.80673416066813
"Hyperopisus bebe","Hyperopisus","Mormyridae","Osteoglossiformes","Actinopterygii",5075,"demersal","tropical","mixed","benthic","fusiform",57.5,51,3.6,0.26,2.6
"Hyperoplus lanceolatus","Hyperoplus","Ammodytidae","Perciformes","Actinopterygii",1374,"demersal","temperate","mixed","pelagic","elongate",30,40,4,0.4,1.8
"Hypophthalmichthys molitrix","Hypophthalmichthys","Cyprinidae","Cypriniformes","Actinopterygii",274,"benthopelagic","subtropical","mixed","benthic","fusiform",20,120,2,0.2,3
"Hypophthalmichthys nobilis","Hypophthalmichthys","Cyprinidae","Cypriniformes","Actinopterygii",275,"benthopelagic","temperate","mixed","benthic","fusiform",20,146,2.8,0.13,4.4
"Hypophthalmus edentatus","Hypophthalmus","Pimelodidae","Siluriformes","Actinopterygii",4533,"pelagic","tropical","freshwater","pelagic","elongate",37,57.5,2.9,0.21,3.1
"Hypophthalmus marginatus","Hypophthalmus","Pimelodidae","Siluriformes","Actinopterygii",25736,"demersal","tropical","freshwater","pelagic","elongate",37,55,3.4,0.56,1.2
"Hypophthalmus oremaculatus","Hypophthalmus","Pimelodidae","Siluriformes","Actinopterygii",51777,"demersal","tropical","freshwater","pelagic","elongate",37,30,4.5,0.3,4.3
"Hyporhamphus limbatus","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii",8313,"pelagic_neritic","tropical","mixed","pelagic","elongate",9.67,35,3.1,0.71,1
"Hyporhamphus unifasciatus","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii",1060,"reef_associated","subtropical","mixed","benthic","elongate",5,30,2,1.46,0.5
"Hyporthodus acanthistius","Hyporthodus","Serranidae","Perciformes","Actinopterygii",9205,"demersal","subtropical","marine","benthic","fusiform",90,100,4.58,0.11,5.6
"Hyporthodus niphobles","Hyporthodus","Serranidae","Perciformes","Actinopterygii",9594,"demersal","tropical","marine","benthic","fusiform",130,48,4.58,0.19,3.6
"Hyporthodus quernus","Hyporthodus","Serranidae","Perciformes","Actinopterygii",6371,"benthopelagic","tropical","marine","benthic","fusiform",380,122,4,0.12,5
"Hypsibarbus malcolmi","Hypsibarbus","Cyprinidae","Cypriniformes","Actinopterygii",27525,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,50,3.2,0.14,4.8
"Ictalurus australis","Ictalurus","Ictaluridae","Siluriformes","Actinopterygii",6185,"demersal","tropical","freshwater","benthic","fusiform",301.25,67.2,4.16,0.14,9.1
"Ictalurus furcatus","Ictalurus","Ictaluridae","Siluriformes","Actinopterygii",3019,"demersal","subtropical","mixed","benthic","fusiform",301.25,165,3.4,0.1,6.1
"Ictalurus punctatus","Ictalurus","Ictaluridae","Siluriformes","Actinopterygii",290,"benthopelagic","subtropical","freshwater","benthic","fusiform",15,132,4.2,0.1282,5.96183299041201
